"","JagsEstimates","ScalaEstimates","RainierEstimatesHMC50","trueCoefs","RainierEstimatesHMC100"
"alpha[1]",2.92437315454199,3.04480875300494,2.71042417260548,5.4,3.00982245545884
"alpha[10]",-2.4310705206316,-2.42516953115769,-2.24986705806973,1.5,-2.47510952066687
"alpha[2]",-0.868549911242874,-0.837931729317178,-0.770775142931054,3.1,-0.858217329163562
"alpha[3]",-3.37724339183106,-3.36479288740491,-2.99315324164122,0.7,-3.33666945769322
"alpha[4]",2.59767188211103,2.66811734210278,2.40727931217134,6.8,2.65551685006636
"alpha[5]",0.224177210045634,0.301627630344377,0.321170847360252,5.1,0.330266814797759
"alpha[6]",2.37850322069674,2.46069223799925,2.20255493486814,6.3,2.44380861167417
"alpha[7]",-0.540332094578409,-0.481166188209368,-0.443979797537187,2,-0.488574994790764
"alpha[8]",0.805561079783983,0.857522809009773,0.696718012125891,3.8,0.78404208772518
"alpha[9]",-2.04838718219713,-2.06164359706825,-1.93906473535071,0.6,-2.12970495433284
"beta[1]",0.0128411897034564,0.134812176531711,0.054861569384345,4.4,0.0766980963349443
"beta[10]",-0.171445829291174,-1.57566615654529,-1.74391639557156,2.9,-1.85935308122673
"beta[11]",-0.352398514993424,-3.25851943985797,-3.47947985778622,1.7,-3.72061839426408
"beta[12]",0.0533890970301488,0.401427643903071,0.439856585876086,5.6,0.473784592380975
"beta[13]",0.0862683589779944,0.790115613326164,0.918271509507573,5.1,0.961446573484322
"beta[14]",0.00978326477198469,0.0726576343128599,0.124628909971187,4.1,0.123091066930935
"beta[15]",-0.0679630212681976,-0.641371477025278,-0.650171859628423,5.2,-0.706725413368462
"beta[2]",0.0392624777732836,0.358015124350518,0.325139906567397,5.9,0.363927206030883
"beta[3]",-0.0475345889972838,-0.45835699009893,-0.50062468196709,3.9,-0.532749459660838
"beta[4]",0.0300840671243746,0.21598331451685,0.217174194629649,4.9,0.237912314254653
"beta[5]",-0.0227645583029895,-0.23789578855638,-0.249547771662582,4.3,-0.261649079618445
"beta[6]",0.168765933837333,1.59279707770477,1.76718427821216,6.5,1.86938321799673
"beta[7]",0.0959476500393831,0.93955985473472,0.958643080497704,5.3,1.03778331218173
"beta[8]",0.0993990979417252,0.970511551692117,0.984331333605015,7,1.06042814807782
"beta[9]",0.0722112591695233,0.703979096086532,0.794727426694818,6.4,0.839189018606911
"int_effects[1,1]",-1.82860329417054,-2.00055939090084,-0.21108842183958,0,-0.699939546014656
"int_effects[1,10]",-1.66405205730193,-0.32845265002666,0.045358520310033,1.3,0.0172415827171483
"int_effects[1,11]",-4.15881258640823,-1.30673026366369,-0.104675264241479,0,-0.287342128431358
"int_effects[1,12]",-0.487410340324905,-0.893409727642873,-0.0381522209124102,0,-0.290622224408257
"int_effects[1,13]",2.94358097397158,2.13790360956424,0.375847017244063,4,0.726324392208323
"int_effects[1,14]",4.88341588444923,4.67247289514749,0.657690257359587,6.9,1.50715475873389
"int_effects[1,15]",-0.805136005255214,-0.300019435618104,0.0173650644368458,0,-0.0536412680088579
"int_effects[1,2]",4.36368728685468,3.91737626729591,0.660836510736986,4.7,1.42808925991845
"int_effects[1,3]",3.66741782433242,3.95286251189411,0.708070567171133,6,1.54753555847214
"int_effects[1,4]",-1.39664909521866,-1.62867098637141,-0.147363291649762,0,-0.56649145034399
"int_effects[1,5]",2.93315635051427,3.0335294403112,0.517845830107415,4.8,1.11383971385159
"int_effects[1,6]",-0.0141932950700421,-1.48644868691386,-0.132073765430857,0,-0.579399109565737
"int_effects[1,7]",-1.03198178368416,-1.91043810307795,-0.150894718630964,0,-0.570316402439984
"int_effects[1,8]",-2.34547488419743,-3.23652006069486,-0.349789463293238,-3.1,-1.09160250043623
"int_effects[1,9]",0.221236569369178,-0.471391812084934,0.0366822660495309,0,-0.131346707747099
"int_effects[10,1]",4.86136137954857,4.71019174512165,0.618053459380275,5,1.63356443395851
"int_effects[10,10]",-1.58639654285314,-0.139379017267324,-0.088506758401913,0,0.00679278745017576
"int_effects[10,11]",-2.62689737469229,0.312372138275991,-0.00741149974090766,0,0.22996626063386
"int_effects[10,12]",1.02945156933465,0.713838047987541,0.037107436332418,0,0.192211544444521
"int_effects[10,13]",0.448048989528218,-0.210271715460857,-0.102541985945446,0,-0.153765069350181
"int_effects[10,14]",-0.452667885364494,-0.461690412389671,-0.131770883673764,0,-0.195061385211952
"int_effects[10,15]",0.709784066378527,1.30932639774471,0.136481549701094,0,0.480201386324768
"int_effects[10,2]",-6.45927448339216,-6.63682516225768,-1.01125465148127,-7.7,-2.36729139850551
"int_effects[10,3]",-0.794107385761214,-0.336541290446662,-0.111796341373857,0,-0.122281044432148
"int_effects[10,4]",0.289421879146524,0.144531509567865,-0.0196341280227229,0,0.0366878299647303
"int_effects[10,5]",-0.26114137437527,-0.00355692393139648,-0.0912407332005868,0,-0.0289238732325625
"int_effects[10,6]",1.68971589555702,0.305819882663969,-0.0281980384260459,0,-0.00314188196657877
"int_effects[10,7]",0.42439089976615,-0.368331411357773,-0.129631403641055,0,-0.204413482483391
"int_effects[10,8]",2.20640728973024,1.36232410553024,0.132475041710665,0,0.41805418262861
"int_effects[10,9]",-3.52325429670514,-4.0533428861564,-0.678864476049233,-5.3,-1.54572244688314
"int_effects[2,1]",-0.6030877256168,-0.694772417506144,-0.110470333785492,0,-0.22295091574679
"int_effects[2,10]",-1.64507952086242,-0.221375844396175,-0.0469798252384822,0,-0.0132400459311827
"int_effects[2,11]",-2.58653832984252,0.32766557458212,0.0118652106116066,0,0.224515342142558
"int_effects[2,12]",0.726036350291124,0.390859407477355,0.0341739164309457,0,0.109467128174942
"int_effects[2,13]",0.253644431409542,-0.425208538956257,-0.0786258478857495,0,-0.182982202716955
"int_effects[2,14]",-0.810549252776309,-0.840062685410367,-0.135339500817302,0,-0.306786952580572
"int_effects[2,15]",-0.679600637510442,-0.0853531225973108,-0.0419793595454735,-1.2,-0.03090022098716
"int_effects[2,2]",-1.39508500760679,-1.66879485023159,-0.294322109741,-2.4,-0.639665276947513
"int_effects[2,3]",-0.849928030995978,-0.414517525499895,-0.0673457171592291,0,-0.119355619635624
"int_effects[2,4]",0.267888872469144,0.0975022385365105,0.00740937692341167,0,0.0282272581241396
"int_effects[2,5]",-0.31609833944885,-0.0839613540571096,-0.032143466742079,0,-0.0310996999405335
"int_effects[2,6]",1.6138920107342,0.206092135185653,-0.00924621821831475,0,-0.0242378106736716
"int_effects[2,7]",0.6880370185903,-0.130215073689022,-0.0139079442221081,0,-0.0626512640330685
"int_effects[2,8]",2.27372746849036,1.39914595772708,0.155705058840924,0,0.399266538435387
"int_effects[2,9]",1.64343156977282,1.01661336080591,0.128442136977032,0,0.320399818670791
"int_effects[3,1]",-0.0215487808249719,-0.102390714078568,-0.0911021126841163,0,-0.069072812147028
"int_effects[3,10]",-1.70691523721101,-0.263855980506269,-0.096518012636181,0,-0.0560763960685944
"int_effects[3,11]",-2.29122079322864,0.641919004587282,-0.0283124527859631,0,0.300227775655614
"int_effects[3,12]",0.837414306853887,0.518765779595981,-0.0318415448500336,0,0.0977337718448737
"int_effects[3,13]",0.479657219782996,-0.18179247270906,-0.120035214298702,0,-0.167536246417661
"int_effects[3,14]",-4.03750475584842,-3.99536126956017,-0.599004118669676,-3.5,-1.32573737900936
"int_effects[3,15]",-7.49787297042667,-6.77586125198411,-0.968363651205237,-8.4,-2.23238626656307
"int_effects[3,2]",1.3371591650208,1.04069095068872,0.032119891915639,0,0.284000721360156
"int_effects[3,3]",-0.608036821507542,-0.156853743105949,-0.152696479473826,0,-0.121072282942588
"int_effects[3,4]",4.24624788969933,4.04588795292519,0.495038985579096,4,1.41392819549513
"int_effects[3,5]",-3.04115278590159,-2.75045454417777,-0.488689131051565,-2.8,-1.0015843227159
"int_effects[3,6]",1.76972404741485,0.379123441500678,-0.059317506007488,0,-0.0163979512146965
"int_effects[3,7]",0.67740537112337,-0.124920006872577,-0.102255680133131,0,-0.124807918271847
"int_effects[3,8]",2.01605284462325,1.15364099836959,0.0614455147778216,0,0.234400309720144
"int_effects[3,9]",2.5062393110063,1.88797757684174,0.164632116055498,0.6,0.568725251125968
"int_effects[4,1]",0.147625711005085,0.00299063037041163,0.0965316275791879,0,0.0658634542705396
"int_effects[4,10]",-1.21014336664213,0.166623357764463,0.0925392566746975,0,0.159430423301564
"int_effects[4,11]",-2.49491375396835,0.378138283445723,0.104330349598935,-0.4,0.269344825089886
"int_effects[4,12]",1.04755487665909,0.668603682487026,0.168464151839041,0,0.253445154325172
"int_effects[4,13]",0.457237957928861,-0.263738874959074,0.015691275614733,0,-0.125079796303671
"int_effects[4,14]",-0.225198932892565,-0.304829435475188,0.0175336316753156,0,-0.0777721356420677
"int_effects[4,15]",0.812682478609434,1.34443155928242,0.27383093606709,0,0.532509199388102
"int_effects[4,2]",-1.51150227704887,-1.82702959276277,-0.187463872364459,-2.8,-0.648757114654448
"int_effects[4,3]",-0.238480680067355,0.148618938649779,0.101715645131012,0,0.113356049242964
"int_effects[4,4]",0.569062948479298,0.35712237160783,0.122950945950504,0,0.155912422759922
"int_effects[4,5]",-0.0752170740956291,0.118293562625946,0.0655897531529978,0,0.0650255739263878
"int_effects[4,6]",1.93511437859742,0.485533809991994,0.129261366723097,0,0.123290717127581
